Goodyera rubicunda (Blume) Lindl.	ORCHIDACEAE(蘭科)\n毛苞斑葉蘭\n長苞斑葉蘭 
Dicranopteris linearis (Burm. f.) Underw. var. tetraphylla (Rosenst.) Nakai	GLEICHENIACEAE\n蔓芒萁
Dicranopteris taiwanensis Ching et Chiu	GLEICHENIACEAE\n台灣芒萁\n大羽芒萁
Diplopterygium blotianum (C. Chr.) Nakai	GLEICHENIACEAE\n逆羽裏白
Diplopterygium chinensis (Rosenst.) DeVol	GLEICHENIACEAE\n中華裏白
Diplopterygium glaucum (Houtt.) Nakai	GLEICHENIACEAE\n裏白
Diplopterygium laevissimum (Christ) Nakai	GLEICHENIACEAE\n鱗芽裏白 
Abrodictyum cumingii Presl.	HYMENOPHYLLACEAE\n長片蕨 
Callistopteris apiifolia (Presl.) Copel.	HYMENOPHYLLACEAE\n毛桿蕨
Cephalomanes laciniatum (Roxb.) DeVol	HYMENOPHYLLACEAE\n菲律賓厚葉蕨 
Cephalomanes clathratum (Tagawa) K. Iwats.	HYMENOPHYLLACEAE\n厚葉蕨 
Crepidomanes bilabiatum (Nees & Bl.) Copel.	HYMENOPHYLLACEAE\n圓唇假脈蕨 
Crepidomanes latealatum (v. d. Bosch) Copel.	HYMENOPHYLLACEAE\n翅柄假脈蕨 
Crepidomanes latemarginale (Eat.) Copel.	HYMENOPHYLLACEAE\n澗邊假脈蕨 
Crepidomanes palmifolium (Hayata) DeVol	HYMENOPHYLLACEAE\n變葉假脈蕨 
Crepidomanes birmanicum (Bedd.) K. Iwats.	HYMENOPHYLLACEAE\n華東瓶蕨 
Crepidomanes kurzii (Bedd.) Tagawa & K. Iwats.	HYMENOPHYLLACEAE\n假脈蕨 
Crepidomanes schmidtianum (Zenker ex Taschn.) K. lwats. var. latifrons (v. d. Bosch) K. lwats.	HYMENOPHYLLACEAE\n寬葉瓶蕨\n高山瓶蕨
Gonocormus minutus (Bl.) v. d. Bosch	HYMENOPHYLLACEAE\n團扇蕨
Hymenophyllum barbatum (v. d. Bosch) Bak.	HYMENOPHYLLACEAE\n華東膜蕨 
Hymenophyllum devolii Lai	HYMENOPHYLLACEAE\n台灣膜蕨
Hymenophyllum simonsianum Hook.	HYMENOPHYLLACEAE\n寬片膜蕨 
Hymenophyllum fimbriatum J. Sm.	HYMENOPHYLLACEAE\n叢葉蕗蕨 
Hymenophyllum productum Kunze	HYMENOPHYLLACEAE\n南洋蕗蕨 
Hymenophyllum taiwanense (Tagawa) Morton	HYMENOPHYLLACEAE\n台灣蕗蕨 
Mecodium badium (Hook. & Grev.) Copel.	HYMENOPHYLLACEAE\n蕗蕨 
Mecodium javanicum (Spreng.) Copel.	HYMENOPHYLLACEAE\n爪哇蕗蕨 
Mecodium oligosorum (Makino) H. Ito	HYMENOPHYLLACEAE\n長毛蕗蕨 
Mecodium polyanthos (Sw.) Copel.	HYMENOPHYLLACEAE\n細葉蕗蕨 
Mecodium wrightii (v. d. Bosch) Copel.	HYMENOPHYLLACEAE\n萊氏蕗蕨 
Meringium blandum (Racib.) Copel.	HYMENOPHYLLACEAE\n爪哇厚壁蕨 
Meringium denticulatum (Sw.) Copel.	HYMENOPHYLLACEAE\n厚壁蕨
Meringium holochilum (v. d. Bosch) Copel.	HYMENOPHYLLACEAE\n南洋厚壁蕨 
Microgonium bimarginatum v. d. Bosch	HYMENOPHYLLACEAE\n叉脈單葉假脈蕨 
Microgonium motleyi v. d. Bosch	HYMENOPHYLLACEAE\n細柄單葉假脈蕨 
Microgonium omphalodes Vieill. ex Fourn.	HYMENOPHYLLACEAE\n盾形單葉假脈蕨 
Microtrichomanes nitidulum (v. d. Bosch) Copel.	HYMENOPHYLLACEAE\n細口團扇蕨 
Nesopteris thysanostoma (Makino) Copel.	HYMENOPHYLLACEAE\n球桿毛蕨 
Pleuromanes pallidum (Bl.) Presl	HYMENOPHYLLACEAE\n毛葉蕨 
Reediella humilis (Forst.) Pichi-Sermolli	HYMENOPHYLLACEAE\n厚邊蕨 
Selenodesmium obscurum (Bl.) Copel.	HYMENOPHYLLACEAE\n線片長筒蕨 
Vandenboschia auriculata (Bl.) Copel.	HYMENOPHYLLACEAE\n瓶蕨 
Vandenboschia maxima (Bl.) Copel.	HYMENOPHYLLACEAE\n大葉瓶蕨 
Vandenboschia pyxidifera (L.) Copel.	HYMENOPHYLLACEAE\n熱帶瓶蕨 
Vandenboschia radicans (Sw.) Copel.	HYMENOPHYLLACEAE\n南海瓶蕨 
Plagiogyria dunnii Copel.	PLAGIOGYRIACEAE\n倒葉瘤足蕨 
Plagiogyria euphlebia (Kunze) Mett.	PLAGIOGYRIACEAE\n華中瘤足蕨 
Plagiogyria formosana Nakai	PLAGIOGYRIACEAE\n台灣瘤足蕨 
Plagiogyria japonica Nakai	PLAGIOGYRIACEAE\n華東瘤足蕨 
Plagiogyria koidzumii Tagawa	PLAGIOGYRIACEAE\n小泉氏瘤足蕨 
Plagiogyria rankanensis Hayata	PLAGIOGYRIACEAE\n瘤足蕨 
Plagiogyria stenoptera (Hance) Diels	PLAGIOGYRIACEAE\n耳形瘤足蕨 
Cibotium barometz (L.) J. Sm.	DICKSONIACEAE\n金狗毛蕨 
Cibotium taiwanense Kuo	DICKSONIACEAE\n台灣金狗毛蕨\n菲律賓金狗毛蕨\n 
Cyathea fenicis Copel.	CYATHEACEAE\n蘭嶼筆筒樹 
Cyathea hancockii Copel.	CYATHEACEAE\n韓氏桫欏 
Cyathea lepifera (J. Sm. ex Hook.) Copel.	CYATHEACEAE\n筆筒樹 
Cyathea loheri Christ	CYATHEACEAE\n南洋桫欏 
Cyathea metteniana (Hance) C. Chr.& Tard.-Blot	CYATHEACEAE\n台灣樹蕨 
Cyathea podophylla (Hook.) Copel.	CYATHEACEAE\n鬼桫欏 
Cyathea spinulosa Wall. ex Hook.	CYATHEACEAE\n台灣桫欏 
Dennstaedtia hirsuta (Sw.) Mett. ex Miq.	DENNSTAEDTIACEAE\n細毛碗蕨 
Dennstaedtia scabra (Wall. ex Hook.) Moore	DENNSTAEDTIACEAE\n碗蕨 
Dennstaedtia scandens (Bl.) Moore	DENNSTAEDTIACEAE\n刺柄碗蕨 
Dennstaedtia smithii (Hook.) Moore	DENNSTAEDTIACEAE\n司氏碗蕨 
Histiopteris incisa (Thunb.) J. Sm.	DENNSTAEDTIACEAE\n栗蕨 
Hypolepis punctata (Thunb.) Mett.	DENNSTAEDTIACEAE\n姬蕨 
Hypolepis tenuifolia (Forst.) Bernh.	DENNSTAEDTIACEAE\n細葉姬蕨 
Microlepia calvescens (Wall. ex Hook.) Presl	DENNSTAEDTIACEAE\n光葉鱗蓋蕨 
Microlepia calvescens (Wall. ex Hook.) Presl var. intramarginalis (Tagawa) Shieh	DENNSTAEDTIACEAE\n羽葉鱗蓋蕨 
Microlepia hookeriana (Wall. ex Hook.) Presl	DENNSTAEDTIACEAE\n虎克氏鱗蓋蕨 
Microlepia marginata (Panzer) C. Chr.	DENNSTAEDTIACEAE\n邊緣鱗蓋蕨 
Microlepia marginata (Panzer) C. Chr. var. bipinnata Makino	DENNSTAEDTIACEAE\n台北鱗蓋蕨 
Microlepia obtusiloba Hayata	DENNSTAEDTIACEAE\n團羽鱗蓋蕨 
Microlepia platyphylla (Don) J. Sm.	DENNSTAEDTIACEAE\n闊葉鱗蓋蕨 
Microlepia speluncae (L.) Moore	DENNSTAEDTIACEAE\n熱帶鱗蓋蕨 
Microlepia strigosa (Thunb.) Presl	DENNSTAEDTIACEAE\n粗毛鱗蓋蕨 
Microlepia substrigosa Tagawa	DENNSTAEDTIACEAE\n亞粗毛鱗蓋蕨 
Microlepia taiwaniana Tagawa	DENNSTAEDTIACEAE\n台灣鱗蓋蕨 
Microlepia tenera Christ	DENNSTAEDTIACEAE\n嫩鱗蓋蕨 
Microlepia trapeziformis (Roxb.) Kuhn	DENNSTAEDTIACEAE\n針毛鱗蓋蕨 
Microlepia trichocarpa Hayata	DENNSTAEDTIACEAE\n毛果鱗蓋蕨 
Microlepia krameri C. M. Kuo	DENNSTAEDTIACEAE\n克氏鱗蓋蕨 
Microlepia rhomboidea (Wall. ex Kunze) Prantl	DENNSTAEDTIACEAE\n斜方鱗蓋蕨 
Microlepia sinostrigosa Ching	DENNSTAEDTIACEAE\n中華鱗蓋蕨 
Monachosorum henryi Christ	DENNSTAEDTIACEAE\n稀子蕨 
Monachosorum maximowiczii (Bak.) Hayata	DENNSTAEDTIACEAE\n岩穴蕨 
Paesia taiwanensis Shieh	DENNSTAEDTIACEAE\n台灣曲軸蕨 
Pteridium aquilinum (L.) Kuhn subsp. latiusculum (Desv.) Shieh	DENNSTAEDTIACEAE\n蕨 
Pteridium aquilinum (L.) Kuhn subsp. wightianum (Wall.) Shieh	DENNSTAEDTIACEAE\n巒大蕨 
Lindsaea cultrata (Willd.) Sw.	LINDSAEACEAE\n網脈陵齒蕨 
Lindsaea ensifolia Sw.	LINDSAEACEAE\n箭葉陵齒蕨 
Lindsaea heterophylla Dry.	LINDSAEACEAE\n異葉陵齒蕨 
Lindsaea japonica (Bak.) Diels	LINDSAEACEAE\n日本陵齒蕨 
Lindsaea merrillii Copel. var. yaeyamensis (Tagawa) Kramer	LINDSAEACEAE\n攀緣陵齒蕨 
Lindsaea odorata Roxb.	LINDSAEACEAE\n陵齒蕨 
Lindsaea orbiculata (Lam.) Mett. ex Kuhn	LINDSAEACEAE\n圓葉陵齒蕨 
Lindsaea orbiculata (Lam.) Mett. ex Kuhn var. commixta (Tagawa) Shieh	LINDSAEACEAE\n海島陵齒蕨 
Lindsaea orbiculata (Lam.) Mett. ex Kuhn var. deltoidea Wu	LINDSAEACEAE\n三角葉陵齒蕨 
Lindsaea securifolia Presl var. kusukusensis (Hayata) Shieh	LINDSAEACEAE\n方柄陵齒蕨 
Lindsaea chienii Ching	LINDSAEACEAE\n錢氏鱗始蕨\n闊片陵齒蕨\n 
Lindsaea javanensis Bl.	LINDSAEACEAE\n爪哇鱗始蕨\n三角葉陵齒蕨\n 
Lindsaea kawabatae Kurata	LINDSAEACEAE\n細葉鱗始蕨 
Lindsaea obtusa J. Sm.	LINDSAEACEAE\n鈍齒鱗始蕨 
Sphenomeris biflora (Kaulf.) Tagawa	LINDSAEACEAE\n闊片烏蕨 
Sphenomeris chusana (L.) Copel.	LINDSAEACEAE\n烏蕨 
Tapeinidium pinnatum (Cav.) C. Chr.	LINDSAEACEAE\n達邊蕨 
Tapeinidium pinnatum (Cav.) C. Chr. var. biserratum (Bl.) Shieh	LINDSAEACEAE\n二羽達邊蕨 
Tapeinidium gracile (Bl.) v. A. v. R	LINDSAEACEAE\n細葉達邊蕨 
Araiostegia parvipinnata (Hayata) Copel.	DAVALLIACEAE\n台灣小膜蓋蕨\n小膜蓋蕨\n 
Davallia formosana Hayata	DAVALLIACEAE\n大葉骨碎補 
Davallia mariesii Moore ex Bak.	DAVALLIACEAE\n海州骨碎補 
Davallia solida (Forst.) Sw.	DAVALLIACEAE\n闊葉骨碎補 
Davallia tyermanni Moore	DAVALLIACEAE\n圓蓋陰石蕨 
Humata chrysanthemifolia (Hayata) Hayata	DAVALLIACEAE\n阿里山陰石蕨 
Humata griffithiana (Hook.) C. Chr.	DAVALLIACEAE\n杯狀蓋陰石蕨 
Humata pectinata (J. Sm.) Desv.	DAVALLIACEAE\n馬來陰石蕨 
Humata repens (L. f.) Diels	DAVALLIACEAE\n陰石蕨 
Humata trifoliata Cav.	DAVALLIACEAE\n鱗葉陰石蕨 
Humata vestita (Bl.) Moore	DAVALLIACEAE\n熱帶陰石蕨 
Leucostegia immersa (Wall.) Presl	DAVALLIACEAE\n大膜蓋蕨 
Arthropteris palisotii (Desv.) Alston	OLEANDRACEAE\n藤蕨 
Nephrolepis auriculata (L.) Trimen	OLEANDRACEAE\n腎蕨 
Nephrolepis biserrata (Sw.) Schott	OLEANDRACEAE\n長葉腎蕨 
Nephrolepis multiflora (Roxburgh) Jarrett et Morton	OLEANDRACEAE\n毛葉腎蕨 
Oleandra wallichii (Hook.) Presl	OLEANDRACEAE\n蓧蕨 
Cheilanthes argentea (Gmel.) Kunze	PTERIDACEAE\n長柄粉背蕨 
Cheilanthes chusana Hook.	PTERIDACEAE\n細葉碎米蕨 
