Goodyera rubicunda (Blume) Lindl.	ORCHIDACEAE(蘭科)\n毛苞斑葉蘭\n長苞斑葉蘭 
Vaccinium dunalianum Wight var. caudatifolium (Hayata) H. L. Li	ERICACEAE\n珍珠花\n長尾葉越橘\n 
Vaccinium emarginatum Hayata	ERICACEAE\n凹葉越橘 
Vaccinium japonicum Miq. var. lasiostemon Hayata	ERICACEAE\n毛蕊花 
Vaccinium merrillianum Hayata	ERICACEAE\n高山越橘 
Vaccinium randaiense Hayata	ERICACEAE\n巒大越橘 
Vaccinium wrightii Gray	ERICACEAE\n大葉越橘 
Vaccinium wrightii Gray var. formosanum (Hayata) H. L. Li	ERICACEAE\n台灣大葉越橘 
Vaccinium kengii C. E. Chang	ERICACEAE\n鞍馬山越橘 
Ardisia arborescens Wall.	MYRSINACEAE\n大葉紫金牛 
Ardisia brevicaulis Diels	MYRSINACEAE\n屯鹿紫金牛\n短莖紫金牛\n 
Ardisia chinensis Benth.	MYRSINACEAE\n華紫金牛 
Ardisia cornudentata Mez	MYRSINACEAE\n雨傘仔 
Ardisia cornudentata Mez subsp. morrisonensis (Hayata) Yuen P. Yang	MYRSINACEAE\n玉山紫金牛 
Ardisia cornudentata Mez subsp. morrisonensis (Hayata) Yuen P. Yang var. stenosepala (Hayata) Yuen P. Yang	MYRSINACEAE\n阿里山紫金牛 
Ardisia crenata Sims	MYRSINACEAE\n珠砂根\n鐵雨傘\n 
Ardisia crispa (Thunb.) A. DC.	MYRSINACEAE\n百兩金 
Ardisia japonica (Hornsted) Blume	MYRSINACEAE\n紫金牛 
Ardisia maclurei Merr.	MYRSINACEAE\n麥氏紫金牛 
Ardisia pusilla A. DC.	MYRSINACEAE\n輪葉紫金牛 
Ardisia quinquegona Blume	MYRSINACEAE\n小葉樹杞 
Ardisia sieboldii Miq.	MYRSINACEAE\n樹杞 
Ardisia virens Kurz	MYRSINACEAE\n黑星紫金牛 
Ardisia elliptica Thunb.	MYRSINACEAE\n蘭嶼紫金牛 
Ardisia kusukuensis Hayata	MYRSINACEAE\n高士佛紫金牛 
Ardisia violacea (T. Suzuki) W. Z. Fang & K Yao	MYRSINACEAE\n裡菫紫金牛 
Ardisia villosa Roxb.	MYRSINACEAE\n雪下紅 
Bladhia humila (Vahl) Sasaki	MYRSINACEAE\n矮紫金牛 
Embelia laeta (L.) Mez	MYRSINACEAE\n藤木槲 
Embelia laeta (L.) Mez var. papilligera (Nakai) Walker	MYRSINACEAE\n藤毛木槲 
Embelia lenticellata Hayata	MYRSINACEAE\n賽山椒 
Embelia rudis Hand.-Mazz.	MYRSINACEAE\n野山椒 
Maesa elmerii Mez	MYRSINACEAE\n菲律賓山桂花 
Maesa japonica (Thunb.) Moritzi ex Zoll.	MYRSINACEAE\n山桂花 
Maesa perlaria (Lour.) Merr.	MYRSINACEAE\n恆春山桂花 
Maesa perlaria (Lour.) Merr. var. perlaria	MYRSINACEAE\n鯽魚膽 
Maesa perlaria (Lour.) Merr. var. formosana (Mez) Yuen P. Yang	MYRSINACEAE\n台灣山桂花\n鯽魚膽\n 
Maesa lanyuensis Yuen P.Yang	MYRSINACEAE\n蘭嶼山桂花 
Myrsine africana L.	MYRSINACEAE\n小葉鐵仔 
Myrsine seguinii H. Lévl.	MYRSINACEAE\n大明橘 
Myrsine stolonifera (Koidz.) Walker	MYRSINACEAE\n蔓竹杞 
Anagalis arvensis L.	PRIMULACEAE\n琉璃繁縷 
Androsace umbellata (Lour.) Merr.	PRIMULACEAE\n地錢草 
Lysimachia ardisioides Masam.	PRIMULACEAE\n台灣排香 
Lysimachia capillipes Hemsl.	PRIMULACEAE\n排香草 
Lysimachia congestiflora Hemsl.	PRIMULACEAE\n叢生花珍珠菜\n台灣珍珠菜\n 
Lysimachia decurrens G. Forster	PRIMULACEAE\n異葉珍珠菜 
Lysimachia fortunei Maxim.	PRIMULACEAE\n星宿菜 
Lysimachia japonica Thunb.	PRIMULACEAE\n小茄 
Lysimachia leucantha Miq.	PRIMULACEAE\n白花珍珠菜 
Lysimachia mauritiana Lam.	PRIMULACEAE\n茅毛珍珠菜 
Lysimachia nigropunctata Masam.	PRIMULACEAE\n黑點珍珠菜 
Lysimachia simulans Hemsl.	PRIMULACEAE\n波緣珍珠菜 
Lysimachia remota Petitm.	PRIMULACEAE\n蓬萊珍珠菜 
Lysimachia chingshuiensis C.-I Peng & C. M. Hu	PRIMULACEAE\n清水山過路黃 
Primula japonica A. Gray	PRIMULACEAE\n日本櫻草 
Primula miyabeana Ito & Kawakami	PRIMULACEAE\n玉山櫻草 
Stimpsonia chamaedryoides C. Wright ex A. Gray	PRIMULACEAE\n施丁草 
Limonium sinense (Girard) Kuntze	PLUMBAGINACEAE\n石蓯蓉 
Limonium wrightii (Hance) Kuntze	PLUMBAGINACEAE\n烏芙蓉 
Plumbago zeylanica L.	PLUMBAGINACEAE\n烏面馬 
Palaquium formosanum Hayata	SAPOTACEAE\n大葉山欖\n台灣膠木\n 
Planchonella duclitan (Blanco) Bakh. f.	SAPOTACEAE\n蘭嶼山欖 
Planchonella obovata (R. Brown) Pierre	SAPOTACEAE\n山欖\n樹青\n 
Diospyros eriantha Champ. ex Benth.	EBENACEAE\n軟毛柿 
Diospyros ferrea (Willd.) Bakhuizen	EBENACEAE\n象牙柿\n烏皮石柃\n象牙樹
Diospyros japonica Sieb. & Zucc.	EBENACEAE\n山柿 
Diospyros kotoensis Yamazaki	EBENACEAE\n蘭嶼柿 
Diospyros maritima Blume	EBENACEAE\n黃心柿 
Diospyros morrisiana Hance	EBENACEAE\n山紅柿\n油柿\n 
Diospyros oldhamii Maxim.	EBENACEAE\n俄氏柿\n台東柿\n 
Diospyros philippensis (Desr.) Gurke	EBENACEAE\n毛柿 
Diospyros rhombifolia Hemsl.	EBENACEAE\n菱葉柿 
Diospyros vaccinioides Lindl.	EBENACEAE\n楓港柿 
Alniphyllum pterospermum Matsum.	STYRACACEAE\n假赤楊\n冇丹樹\n丹招樹
Styrax formosana Matsum.	STYRACACEAE\n烏皮九芎\n奮起湖野茉莉\n 
Styrax formosana Matsum. var. hayataiana (Perkins) Li	STYRACACEAE\n恒春野茉莉\n早田氏紅皮\n 
Styrax japonica Sieb. & Zucc. var. kotoensis (Hayata) Masam. & Suzuki	STYRACACEAE\n蘭嶼野茉莉\n蘭嶼安息香\n 
Styrax matsumuraei Perkins	STYRACACEAE\n台灣野茉莉 
Styrax suberifolia Hook. & Arn.	STYRACACEAE\n紅皮\n葉下白\n赤仔尾
Symplocos cochinchinensis (Lour.) S. Moore	SYMPLOCACEAE\n銹葉灰木 
Symplocos cochinchinensis (Lour.) S. Moore var. philippinensis (Brand) Noot.	SYMPLOCACEAE\n蘭嶼銹葉灰木 
Symplocos glauca (Thunb.) Koidz.	SYMPLOCACEAE\n山羊耳 
Symplocos heishanensis Hayata	SYMPLOCACEAE\n平遮那灰木 
Symplocos kawakamii Hayata	SYMPLOCACEAE\n川上氏灰木 
Symplocos modesta Brand	SYMPLOCACEAE\n小葉白筆 
Symplocos nokoensis (Hayata) Kanehira	SYMPLOCACEAE\n能高山灰木 
Symplocos shilanensis Y. C. Liu & F. Y. Lu	SYMPLOCACEAE\n希蘭灰木 
Symplocos stellaris Brand	SYMPLOCACEAE\n枇杷葉灰木 
Symplocos wikstroemiifolia Hayata	SYMPLOCACEAE\n月桂葉灰木 
Symplocos acuminata (Blume) Miq.	SYMPLOCACEAE\n大里力灰木 
Symplocos arisanensis Hayata	SYMPLOCACEAE\n阿里山灰木 
Symplocos caudata Wall.	SYMPLOCACEAE\n尾葉灰木 
Symplocos chinensis (Lour.) Druce	SYMPLOCACEAE\n灰木 
Symplocos congesta Benth.	SYMPLOCACEAE\n楊桐葉灰木 
Symplocos congesta Benth. var. theifolia (Hayata) Yuen P. Yang & S. Y. Lu	SYMPLOCACEAE\n茶葉灰木 
Symplocos decora Hance	SYMPLOCACEAE\n小泉氏灰木 
Symplocos eriostroma Hayata	SYMPLOCACEAE\n薄葉灰木 
Symplocos formosana Brand	SYMPLOCACEAE\n台灣灰木 
Symplocos grandis Hand.-Mazz.	SYMPLOCACEAE\n大葉灰木 
Symplocos konishii Hayata	SYMPLOCACEAE\n小西氏灰木 
Symplocos koshunensis Kaneh.	SYMPLOCACEAE\n恆春灰木 
Symplocos migoi Nagam.	SYMPLOCACEAE\n擬日本灰木 
Symplocos morrisonicola Hayata	SYMPLOCACEAE\n玉山灰木 
Symplocos sasakii Hayata	SYMPLOCACEAE\n佐佐木氏灰木 
Symplocos setchuensis Brand	SYMPLOCACEAE\n四川灰木 
Symplocos sonoharae Koidz.	SYMPLOCACEAE\n南嶺灰木 
Symplocos theophrastifolia Sieb. & Zucc.	SYMPLOCACEAE\n山豬肝 
Symplocos trichoclada Hayata	SYMPLOCACEAE\n褐毛灰木 
Symplocos macrostroma Hayata	SYMPLOCACEAE\n大花灰木 
Chionanthus retusus Lindl. & Paxt.	OLEACEAE\n流蘇樹 
Chionanthus coriaceus (Vidal.) Yuen P. Yang & S. Y. Lu	OLEACEAE\n厚葉李欖 
Chionanthus ramiflorus Roxb.	OLEACEAE\n紅頭李欖 
Fraxinus insularis Hemsl.	OLEACEAE\n台灣梣 
Fraxinus griffithii C. B. Clarke	OLEACEAE\n白雞油 
Jasminum lanceolarium Roxb.	OLEACEAE\n披針葉茉莉花 
Jasminum urophyllum Hemsl.	OLEACEAE\n川素馨\n尾葉山素英\n 
Jasminum nervosum Lour.	OLEACEAE\n山素英 
Jasminum sinense Hemsl.	OLEACEAE\n華素馨 
Ligustrum ibota Siebold	OLEACEAE\n伊波打女貞 
Ligustrum medium Franch. & Sav.	OLEACEAE\n中型女貞 
Ligustrum morrisonense Kanehira & Sasaki	OLEACEAE\n玉山女貞 
Ligustrum pricei Hayata	OLEACEAE\n阿里山女貞 
Ligustrum shakaroense Kaneh.	OLEACEAE\n深瓣女貞 
Ligustrum liukiuense Koidz.	OLEACEAE\n日本女貞 
Ligustrum sinense Lour. ex Dence	OLEACEAE\n小實女貞 
Osmanthus enervius Masam. & Mori	OLEACEAE\n無脈木犀 
Osmanthus fragrans Lour.	OLEACEAE\n木犀\n桂花\n 
Osmanthus heterophyllus (G. Don) P. S. Green	OLEACEAE\n異葉木犀 
Osmanthus integrifolius Hayata	OLEACEAE\n圓葉木犀 
Osmanthus lanceolatus Hayata	OLEACEAE\n銳葉木犀 
Osmanthus marginatus (Champ. ex Benth.) Hemsl.	OLEACEAE\n小葉木犀 
Osmanthus matsumuranus Hayata	OLEACEAE\n大葉木犀 
Osmanthus kaoi (Liu & Liao) S. Y. Lu	OLEACEAE\n高氏木犀 
Buddleja asiatica Lour.	LOGANIACEAE\n揚波 
Buddleja curviflora Hook. & Arn.	LOGANIACEAE\n彎花醉魚木 
Fagraea ceilanica Thunb.	LOGANIACEAE\n灰莉 
Gardneria multiflora Makino	LOGANIACEAE\n多花蓬萊葛 
Gardneria nutans Siebold & Zucc.	LOGANIACEAE\n垂花蓬萊葛 
Geniostema rupestre J. R. Forst. & G. Forst.	LOGANIACEAE\n偽木荔枝 
Mitrasacme indica Wight	LOGANIACEAE\n光巾草 
Mitrasacme pygmaea R. Brown	LOGANIACEAE\n矮形光巾草 
Strychnos cathayensis Merr.	LOGANIACEAE\n台灣馬錢\n華馬錢\n 
Centaurium japonicum (Maxim.) Druce	GENTIANACEAE\n百金 
Gentiana arisanensis Hayata	GENTIANACEAE\n阿里山龍膽 
Gentiana flavomaculata Hayata	GENTIANACEAE\n黃斑龍膽\n黃花龍膽\n 
Gentiana flavomaculata Hayata var. yuanyanghuensis C. H. Chen & J. C Wang	GENTIANACEAE\n鴛鴦湖龍膽 
Gentiana itzershanensis T. S. Liu & Chiu C. Kuo	GENTIANACEAE\n伊澤山龍膽 
Gentiana loureirii (G. Don) Griseb.	GENTIANACEAE\n盧氏龍膽 
Gentiana parvifolia Hayata	GENTIANACEAE\n細莖龍膽 
Gentiana scabrida Hayata	GENTIANACEAE\n玉山龍膽 
Gentiana scabrida Hayata var. punctulata S. S. Ying	GENTIANACEAE\n黑斑龍膽 
Gentiana squarrosa Ledeb.	GENTIANACEAE\n鱗片龍膽 
Gentiana tatakensis Masam.	GENTIANACEAE\n塔塔加龍膽 
Gentiana tentyoensis Masam.	GENTIANACEAE\n厚葉龍膽 
Gentiana tenuissima Hayata	GENTIANACEAE\n台東龍膽 
Gentiana davidii Franch. var. formosana (Hayata) T. N. Ho	GENTIANACEAE\n台灣龍膽 
Gentiana horaimontana Masam.	GENTIANACEAE\n高山龍膽 
Gentiana kaohsiungensis C. H. Chen & J. C. Wang	GENTIANACEAE\n高雄龍膽 
Gentiana tarokoensis C. H. Chen & J. C. Wang	GENTIANACEAE\n太魯閣龍膽 
Lomatogonium chilaiensis C. H. Chen & J. C. Wang	GENTIANACEAE\n奇萊肋柱花 
Swertia arisanensis Hayata	GENTIANACEAE\n阿里山當藥 
Swertia tozanensis Hayata	GENTIANACEAE\n高山當藥 
Swertia macrosperma (C. B. Clarke) C. B. Clarke	GENTIANACEAE\n大籽當藥\n巒大當藥\n 
Swertia shintenensis Hayata	GENTIANACEAE\n新店當藥 
Tripterospermum cordifolium (Yamamoto) Satake	GENTIANACEAE\n高山肺形草 
Tripterospermum lanceolatum (Hayata) Hara ex Satake	GENTIANACEAE\n玉山肺形草\n披針葉肺形草\n 
Tripterospermum taiwanense (Masam.) Satake	GENTIANACEAE\n台灣肺形草 
Tripterospermum alutaceifolium (T. S. Liu & Chiu C. Kuo) J. Murata	GENTIANACEAE\n台北肺形草 
Tripterospermum luzonense (Vidal) J. Murata	GENTIANACEAE\n高山雙蝴蝶\n呂宋肺形草\n 
Tripterospermum microphyllum H. Smith	GENTIANACEAE\n小葉雙蝴蝶\n小葉肺形草\n細莖龍膽
Pterygocalyx volubilis Maxim.	GENTIANACEAE\n翼萼蔓 
Alyxia taiwanensis S. Y. Lu & Yuen P. Yang	APOCYNACEAE\n台灣念珠藤 
Alyxia sinensis Champ. ex Benth	APOCYNACEAE\n中國念珠藤 
Alyxia sibuyanensis Elmer	APOCYNACEAE\n蘭嶼念珠藤 
Anodendron affine (Hook. & Arn.) Druce	APOCYNACEAE\n小錦蘭\n大錦蘭\n 
Anodendron benthamiana Hemsl.	APOCYNACEAE\n大錦蘭 
Anodendron salicifolium Tsiang & P. T. Li	APOCYNACEAE\n柳葉鱔藤 
Cerbera manghas L.	APOCYNACEAE\n海檬果 
Ecdysanthera rosea Hook. & Arn.	APOCYNACEAE\n酸藤 
Ecdysanthera utilis Hayata & Kawakami	APOCYNACEAE\n乳藤 
Melodinus angustifolius Hayata	APOCYNACEAE\n山橙 
Parsonia laevigata (Moon) Alston	APOCYNACEAE\n爬森藤 
Rauvolfia verticillata (Lour.) Baillon	APOCYNACEAE\n蘿芙木 
Rauvolfia taiwanensis Tsiang	APOCYNACEAE\n台灣蘿芙木 
Tabernaemontana divaricata (L.) R. Brown ex Roem.	APOCYNACEAE\n馬蹄花\n馬茶花\n山馬茶
Tabernaemontana macrocarpa Jack	APOCYNACEAE\n大果狗牙花 
Tabernaemontana pandacaqui Poir.	APOCYNACEAE\n南洋馬蹄花\n馬蹄花\n山馬茶
Tabernaemontana subglobosa Merr.	APOCYNACEAE\n蘭嶼馬蹄花 
Trachelospermum formosanum Liu & Ou	APOCYNACEAE\n台灣絡石 
Trachelospermum gracilipes Hook. f.	APOCYNACEAE\n細梗絡石 
Trachelospermum jasminoides (Lindl.) Lemaire	APOCYNACEAE\n絡石\n台灣白花藤\n 
Trachelospermum kuraruense Masam.	APOCYNACEAE\n屏東絡石 
Trachelospermum majus Nakai	APOCYNACEAE\n巨絡石 
Trachelospermum lanyuense C. E. Chang	APOCYNACEAE\n蘭嶼絡石 
Holarrhena pubescens Wall. ex G. Don	APOCYNACEAE\n止瀉木 
Asclepias curassavica L.	ASCLEPIADACEAE\n馬利筋 
Cryptolepis sinensis (Lour.) Merr.	ASCLEPIADACEAE\n隱鱗藤 
Cynanchum atratum Bunge	ASCLEPIADACEAE\n牛皮消\n白薇\n 
Cynanchum formosanum (Maxim.) Hemsl. ex Forbes & Hemsl.	ASCLEPIADACEAE\n台灣牛皮消\n台灣白薇\n 
Cynanchum lanhsuense Yamazaki	ASCLEPIADACEAE\n蘭嶼牛皮消\n蘭嶼白薇\n 
Cynanchum boudieri H. Lév. & Vaniot	ASCLEPIADACEAE\n薄葉牛皮消 
Dischidia formosana Maxim.	ASCLEPIADACEAE\n風不動 
Dregea volubilis (L. f.) Benth.	ASCLEPIADACEAE\n華他卡藤 
Gymnema sylvestre (Retz.) Schultes	ASCLEPIADACEAE\n武靴藤\n羊角藤\n 
Heterostemma brownii Hayata	ASCLEPIADACEAE\n布朗藤 
Hoya carnosa (L. f.) R. Br.	ASCLEPIADACEAE\n毬蘭 
Marsdenia formosana Masam.	ASCLEPIADACEAE\n台灣牛彌菜 
Marsdenia tinctoria R. Brown	ASCLEPIADACEAE\n絨毛芙蓉蘭 
Pergularia odoratissima Smith	ASCLEPIADACEAE\n番瑞香 
Telosma pallida (Roxb.) Craib	ASCLEPIADACEAE\n夜香花 
Tylophora brevipes (Turz.) F.-Villar	ASCLEPIADACEAE\n短柄鷗蔓 
Tylophora oshimae Hayata	ASCLEPIADACEAE\n疏花鷗蔓\n狹葉鷗蔓\n 
Tylophora ovata (Lindl.) Hook. ex Steud.	ASCLEPIADACEAE\n鷗蔓 
Tylophora taiwanensis Hatusima	ASCLEPIADACEAE\n台灣鷗蔓 
Jasminanthes mucronata (Blanco) Stevens & Li	ASCLEPIADACEAE\n舌瓣花 
Argostemma solaniflorum Elmer	RUBIACEAE\n水冠草 
Borreria laevia (Lamk.) Grieseb.	RUBIACEAE\n小破得力 
Borreria stricta (L.f.) G. F. W. Meyer	RUBIACEAE\n長葉鴨舌癀 
Cephalanthus naucleoides DC.	RUBIACEAE\n風箱樹\n珠花樹\n 
Cinchona ledgeriana Noens. ex Trim.	RUBIACEAE\n小葉雞納樹 
Cinchona succirubra Pav.	RUBIACEAE\n大葉金雞納樹 
Coptosapelta diffusa (Champ. ex Benth.) Steenis	RUBIACEAE\n瓢簞藤 
Damnacanthus angustifolius Hayata	RUBIACEAE\n無刺伏牛花 
Damnacanthus indicus Gaertn.	RUBIACEAE\n伏牛花 
Dentella repens (L.) J. R. Forst. & G. Forst.	RUBIACEAE\n小牙草 
Galium echinocarpum Hayata	RUBIACEAE\n刺果豬殃殃 
Galium formosense Ohwi	RUBIACEAE\n圓葉豬殃殃 
Galium fukuyamai Masam.	RUBIACEAE\n福山氏豬殃殃 
Galium morii Hayata	RUBIACEAE\n森氏豬殃殃 
Galium nankotaizanum Ohwi	RUBIACEAE\n南湖大山豬殃殃 
Galium spurium L. f. vaillantii (DC.) R. J. Moore	RUBIACEAE\n豬殃殃 
Galium taiwanense Masam.	RUBIACEAE\n台灣豬殃殃 
Galium tarokoense Hayata	RUBIACEAE\n太魯閣豬殃殃 
Galium gracilens (A. Gray) Makino	RUBIACEAE\n琉球豬殃殃 
Galium trifidum L.	RUBIACEAE\n小葉四葉葎 
Gardenia jasminoides Ellis	RUBIACEAE\n山黃梔 
Geophila herbacea (Jacq.) O. Ktze.	RUBIACEAE\n苞花蔓 
Guettarda speciosa L.	RUBIACEAE\n葛塔德木 
Hayataella michelloides Masam.	RUBIACEAE\n玉蘭草\n山茜草\n 
Hedyotis butensis Masam.	RUBIACEAE\n臭涼喉茶 
Hedyotis corymbosa (L.) Lam.	RUBIACEAE\n繖花龍吐珠 
Hedyotis diffusa Willd.	RUBIACEAE\n白花蛇舌草 
Hedyotis hedyotidea (DC.) Merr.	RUBIACEAE\n南投涼喉茶\n牛白藤\n 
Hedyotis tenelliflora Blume	RUBIACEAE\n纖花耳草\n細葉龍吐珠\n 
Hedyotis uncinella Hook. & Arn.	RUBIACEAE\n長節耳草\n狗骨消\n 
Hedyotis biflora (L.) Lam.	RUBIACEAE\n雙花耳草 
Hedyotis chrysotricha (Palib.) Merr.	RUBIACEAE\n金毛耳草 
Hedyotis strigulosa Bartl. ex DC. var. parvifolia (Hook. & Arn.) Yamazaki	RUBIACEAE\n脈耳草 
Hedyotis verticillata (L.) Lam.	RUBIACEAE\n粗葉耳草 
Ixora philippinensis Merr.	RUBIACEAE\n小仙丹花 
Knoxia corymbosa Willd.	RUBIACEAE\n諾氏草 
Lasianthus appressihirtus Simizu	RUBIACEAE\n密毛雞屎樹 
Lasianthus appressihirtus Simizu var. maximus Simizu ex T.S. Liu & J.M. Chao	RUBIACEAE\n大葉密毛雞屎樹\n大葉雞屎樹\n 
Lasianthus bunzanensis Simizu	RUBIACEAE\n文山雞屎樹 
Lasianthus chinensis (Champ. ex Benth.) Benth.	RUBIACEAE\n白果雞屎樹 
Lasianthus curtisii King & Gamble	RUBIACEAE\n柯氏雞屎樹 
Lasianthus cyanocarpus Jack	RUBIACEAE\n毛雞屎樹 
Lasianthus fordii Hance	RUBIACEAE\n琉球雞屎樹 
Lasianthus formosensis Matsum.	RUBIACEAE\n台灣雞屎樹 
Lasianthus hiiranensis Hayata	RUBIACEAE\n棲蘭山雞屎樹 
Lasianthus japonicus Miq.	RUBIACEAE\n日本雞屎樹 
Lasianthus japonicus Miq. var. satsumensis (Matsum.) Makino	RUBIACEAE\n粗毛日本雞屎樹 
Lasianthus microphyllus Elmer	RUBIACEAE\n小葉雞屎樹 
Lasianthus microstachys Hayata	RUBIACEAE\n薄葉雞屎樹 
Lasianthus obliquinervis Merr.	RUBIACEAE\n雞屎樹 
Lasianthus obliquinervis Merr. var. simizui T. S. Liu & J. M. Chao	RUBIACEAE\n清水氏雞屎樹 
Lasianthus obliquinervis Merr. var. taitoensis (Simizu) T. S. Liu & J. M. Chao	RUBIACEAE\n台東雞屎樹 
Lasianthus tawadae Ohwi	RUBIACEAE\n田和代氏雞屎樹 
Lasianthus tsangii Merr. ex H. L. Li	RUBIACEAE\n長苞雞屎樹 
Lasianthus wallichii Wight	RUBIACEAE\n圓葉雞屎樹 
Litosanthes biflora Blume	RUBIACEAE\n壺冠木 
Mitchella undulata Siebold & Zucc.	RUBIACEAE\n蔓虎刺 
Morinda citrifolia L.	RUBIACEAE\n檄樹 
Morinda parvifolia Bartl.	RUBIACEAE\n紅珠藤 
Morinda umbellata L.	RUBIACEAE\n羊角藤 
Mussaenda macrophylla Wall.	RUBIACEAE\n大葉玉葉金花 
Mussaenda macrophylla Wall. var. brevipilosa Jayaweera	RUBIACEAE\n短毛玉葉金花 
Mussaenda pubescens Ait. f.	RUBIACEAE\n毛玉葉金花\n玉葉金花\n 
Neonauclea reticulata (Havil.) Merr.	RUBIACEAE\n欖仁舅 
Nertera granadense (Mutis ex L. f.) Druce	RUBIACEAE\n紅果深柱夢草 
Nertera nigricarpa Hayata	RUBIACEAE\n黑果深柱夢草 
Ophiorrhiza hayatana Ohwi	RUBIACEAE\n早田氏蛇根草 
Ophiorrhiza japonica Blume	RUBIACEAE\n蛇根草 
Ophiorrhiza pumila Champ. ex Benth.	RUBIACEAE\n白花蛇根草 
Ophiorrhiza kuroiwae Makino	RUBIACEAE\n小花蛇根草 
Paederia cavaleriei H. Lév.	RUBIACEAE\n毛雞屎藤 
Paederia foetida L.	RUBIACEAE\n雞屎藤 
Pavetta indica L.	RUBIACEAE\n茜木 
Psychotria cephalophora Merr.	RUBIACEAE\n蘭嶼九節木 
Psychotria manillensis Bartl. ex DC.	RUBIACEAE\n琉球九節木 
Psychotria rubra (Lour.) Poir.	RUBIACEAE\n九節木\n牛屎烏\n青龍吐霧
Psychotria serpens L.	RUBIACEAE\n拎壁龍\n風不動藤\n 
Randia canthioides Champ. ex Benth.	RUBIACEAE\n台北茜草樹 
Randia cochinchinensis (Lour.) Merr.	RUBIACEAE\n茜草樹\n龍蝦\n 
Randia sinensis (Lour.) Roem. & Schult.	RUBIACEAE\n華茜草樹 
Randia spinosa (Thunb.) Poir.	RUBIACEAE\n對面花 
Randia wallichii Hook. f.	RUBIACEAE\n大果玉心花 
Richardia scabra L.	RUBIACEAE\n擬鴨舌癀 
Rubia akane Nakai	RUBIACEAE\n紅藤仔草\n過山龍\n 
Rubia akane Nakai var. erecta Masam.	RUBIACEAE\n直立紅藤草 
Rubia lanceolata Hayata	RUBIACEAE\n金劍草 
Rubia linii Chao	RUBIACEAE\n林氏茜草 
Serissa serissoides (DC.) Druce	RUBIACEAE\n六月雪\n滿天星\n 
Tarenna gracilipes (Hayata) Ohwi	RUBIACEAE\n薄葉玉心花 
Tarenna zeylanica Gaertn.	RUBIACEAE\n錫蘭玉心花 
Timonius arboreus Elmer	RUBIACEAE\n貝木 
Tricalysia dubia (Lindl.) Ohwi	RUBIACEAE\n狗骨仔 
Uncaria hirsuta Haviland	RUBIACEAE\n台灣鉤藤\n倒吊風藤\n 
Uncaria rhynchophylla Miq.	RUBIACEAE\n嘴葉鉤藤 
Uncaria lanosa Wall. var. appendiculata Ridsd.	RUBIACEAE\n恆春鉤藤 
Wendlandia formosana Cowan	RUBIACEAE\n水金京 
Wendlandia luzoniensis DC.	RUBIACEAE\n呂宋水錦樹 
Wendlandia uvariifolia Hance	RUBIACEAE\n水錦樹 
Canthium gynochodes Baill.	RUBIACEAE\n朴萊木 
Diodia virginiana L.	RUBIACEAE\n維州鈕扣草 
Neanotis hirsuta (L. f.) W. H. Lewis	RUBIACEAE\n涼喉茶 
Sherardia arvensis L.	RUBIACEAE\n雪迪亞草 
Sinoadina racemosa (Siebold & Zucc.) Ridsdale	RUBIACEAE\n水團花 
Spermacoce articularis L. f.	RUBIACEAE\n鴨舌癀舅 
Spermacoce assurgens Ruiz & Pavon	RUBIACEAE\n光葉鴨舌癀舅 
Spermacoce latifolia Aubl.	RUBIACEAE\n闊葉鴨舌癀舅 
Spermacoce mauritiana Gideon	RUBIACEAE\n蔓鴨舌癀舅 
Spermacoce pusilla Wall.	RUBIACEAE\n小鴨舌癀舅 
Argyreia nervosa (Burm. f.) Boj.	CONVOLVULACEAE\n脈葉朝顏 
Argyreia formosana Ishigami ex Yamazaki	CONVOLVULACEAE\n鈍葉朝顏 
Calystegia soldanella (L.) R. Brown	CONVOLVULACEAE\n濱旋花 
Cuscuta australis R. Brown	CONVOLVULACEAE\n菟絲子 
Cuscuta chinensis Lam.	CONVOLVULACEAE\n中國菟絲子 
Cuscuta epilinum Weihe	CONVOLVULACEAE\n寄亞麻無根草 
Cuscuta japonica Choisy	CONVOLVULACEAE\n日本菟絲子 
Cuscuta japonica Choisy var. formosana (Hayata) Yunck.	CONVOLVULACEAE\n台灣菟絲子 
Cuscuta campestris Yunck.	CONVOLVULACEAE\n平原菟絲子 
Dichondra micrantha Urban	CONVOLVULACEAE\n馬蹄金 
Erycibe henryi Prain	CONVOLVULACEAE\n亨利氏伊立基藤 
Evolvulus alsinoides (L.) L.	CONVOLVULACEAE\n土丁桂 
Hewittia malabarica (L.) Suresh	CONVOLVULACEAE\n吊鐘藤 
Ipomoea alba L.	CONVOLVULACEAE\n天茄兒 
Ipomoea aquatica Forsk.	CONVOLVULACEAE\n甕菜\n草菜\n 
Ipomoea cairica (L.) Sweet	CONVOLVULACEAE\n番仔藤\n槭葉牽牛\n 
Ipomoea hederacea (L.) Jacq.	CONVOLVULACEAE\n碗仔花 
Ipomoea nil (L.) Roth.	CONVOLVULACEAE\n牽牛花 
Ipomoea obscura (L.) Ker-Gawl.	CONVOLVULACEAE\n野牽牛 
Ipomoea pescaprae (L.) R. Brown subsp. brasiliensis (L.) Oostst.	CONVOLVULACEAE\n馬鞍藤 
Ipomoea pestigridis L.	CONVOLVULACEAE\n九爪藤 
Ipomoea polymorpha Roem. & Schult.	CONVOLVULACEAE\n變葉立牽牛 
